0,19.604,0.057
203,19.57866667,0.054
406,19.59400033,0.052
701,19.49533367,0.05
904,19.59100033,0.052
1258,19.531667,0.049
1461,19.43333367,0.045
1664,19.58933367,0.051
1867,19.558667,0.056
2070,19.532667,0.051
2273,19.57800033,0.051
2476,19.58833367,0.048
2679,19.535667,0.048
2881,19.600667,0.053
3084,19.65800033,0.051
3287,19.681667,0.044
3591,19.605667,0.039
3894,19.595667,0.039
4197,19.58933367,0.036
4500,19.616667,0.035
4802,19.64733367,0.038
5105,19.706667,0.039
5408,19.69100033,0.037
5712,19.67400033,0.037
6016,19.54500033,0.035
6319,19.584667,0.034
6621,19.574667,0.032
6924,19.51433367,0.03
7229,19.530667,0.031
7532,19.56900033,0.033
7836,19.655667,0.035
8139,19.62000033,0.033
8441,19.74800033,0.036
8745,19.63200033,0.033
9048,19.635667,0.033
9352,19.63033367,0.033
9655,19.606667,0.032
9959,19.66100033,0.033
10262,19.67500033,0.032
10566,19.65700033,0.034
11172,19.678667,0.035
11475,19.59133367,0.034
11778,19.554667,0.033
12081,19.58000033,0.033
